rank,candidate_id,final_score,reasoning,semantic_score,structured_score,behavioral_score,quality_score,semantic_contribution,structured_contribution,behavioral_contribution,quality_contribution,skill_score,retrieval_score,ranking_score,evaluation_score,production_score,experience_score,education_score,certification_score,llm_hype_penalty,experience_fit_score,experience_distance,consistency_score,education_consistency_score,trap_probability,assessment_score,assessment_modifier,scale_boost,behavioral_boost,career_keyword_scores,ranking_concept,evaluation_concept,production_concept,consulting_ratio,is_honeypot,is_consulting_only,is_cv_only,top_positive_features,top_negative_features,anonymized_name,headline,summary,location,country,years_of_experience,current_title,current_company,current_company_size,current_industry,skills,education,career_history,certifications,languages,profile_completeness_score,signup_date,last_active_date,open_to_work,profile_views_received_30d,applications_submitted_30d,recruiter_response_rate,avg_response_time_hours,connection_count,endorsements_received,notice_period_days,expected_salary,preferred_work_mode,willing_to_relocate,github_activity_score,search_appearance_30d,saved_by_recruiters_30d,interview_completion_rate,offer_acceptance_rate,verified_email,verified_phone,linkedin_connected
28,CAND_0033179,0.570044,"Possesses 7 years of experience specializing in Fine-tuning LLMs, relevant to hybrid retrieval, evaluation frameworks (NDCG/MRR), production deployment. Track record includes live, production-facing ML work — a direct match for the JD's bias toward shipping over theorizing. Signals worth noting include strong recruiter engagement, open to work, immediate joiner status.",0.578,0.5599,0.824,0.9,0.0867,0.27995,0.1236,0.09,0.0203,0.712,0.93,0.0,0.747,0.9569,0.825,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.0, 'production': 0.25}",0.4074,0.2809,0.6171,0.5,False,False,False,Experience Fit (1.00); Profile Consistency (1.00); Experience Score (0.96),Skill Match (0.02); Evaluation Frameworks (0.00),Yash Subramanian,AI Research Engineer | 6.9 yrs in analytics & ML,"Data scientist / ML engineer with 6.9 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.","Ahmedabad, Gujarat",India,6.9,AI Research Engineer,Wipro,10001+,IT Services,"FastAPI, Weights & Biases, Hugging Face Transformers, OpenSearch, Diffusion Models, Speech Recognition, PyTorch, MLOps, PowerPoint, scikit-learn, Airflow, Fine-tuning LLMs, Docker, MLflow, Information Retrieval, YOLO",M.S. in Statistics from Bharati Vidyapeeth (2019-2022),"AI Research Engineer at Wipro (38 mos, current=True); Senior Software Engineer (ML) at CRED (44 mos, current=False)",LangChain for LLM Application Development," (professional),  (native)",92.2,2025-09-13,2026-05-22,True,123,2,0.84,8.4,1243,23,30,19.2-34.6 LPA,hybrid,True,-1.0,206,33,0.66,-1.0,True,False,True
29,CAND_0027691,0.566745,"Possesses 6 YOE with hands-on LoRA, PEFT, QLoRA experience applicable to the JD's hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations needs. Has a track record of deploying robust ML systems to production, consistent with the role's emphasis on shipping over theorizing. Signals worth noting include open to work, immediate joiner status. Note: Ranks behind the strongest candidates primarily on semantic alignment with the JD (0.55 vs. 1.00 on profile quality/trust signal).",0.5478,0.6052,0.7119,1.0,0.08217,0.3026,0.106785,0.1,0.2263,1.0,0.759,0.0924,0.846,0.6678,0.8625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,86.9,1.03,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 0.0, 'production': 1.0}",0.4944,0.3408,0.5796,0.0,False,False,False,Retrieval/Search (1.00); Experience Fit (1.00); Profile Quality (1.00),Skill Match (0.23); Evaluation Frameworks (0.09); Certifications (0.00),Ayaan Goyal,"NLP Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 6.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, my main project for the last 18 months has been the recommendation system that powers our discovery feed. Along the way I've gotten comfortable with the operational side — A/B testing, drift monitoring, retraining schedules. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Pune, Maharashtra",India,6.5,NLP Engineer,Haptik,201-500,Conversational AI,"SAP, LoRA, PEFT, Recommendation Systems, Statistical Modeling, Weaviate, scikit-learn, Marketing, Embeddings, Learning to Rank, TTS, QLoRA, TensorFlow, Semantic Search, Python, MLflow, Computer Vision",M.Sc in Machine Learning from Thapar University (2007-2010); M.E. in Data Science from KIIT University (2008-2012),"NLP Engineer at Haptik (27 mos, current=True); Applied ML Engineer at Vedantu (33 mos, current=False); AI Engineer at Meta (16 mos, current=False)",," (native),  (native)",96.3,2024-09-14,2026-03-31,True,14,1,0.68,14.7,447,154,15,26.1-65.0 LPA,hybrid,False,58.5,100,25,0.63,0.62,True,True,True
30,CAND_0070333,0.566041,"5 years deep in llms, with Elasticsearch, FAISS, Milvus on the resume — a near match for the JD's hybrid retrieval, vector DB operations, production deployment ask. Has a track record of deploying robust ML systems to production, consistent with the role's emphasis on shipping over theorizing. Features open to work, a 60-day notice period.",0.583,0.5583,0.7519,1.0,0.08745,0.27915,0.112785,0.1,0.1564,0.775,0.93,0.0,0.607,0.9329,0.9625,0.0,0.0,0.97,0.3,1.0,1.0,0.0,78.1,1.01,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.0, 'production': 0.25}",0.4056,0.2606,0.6321,0.5,False,False,False,Profile Quality (1.00); Profile Consistency (1.00); Experience Fit (0.97),Skill Match (0.16); Evaluation Frameworks (0.00); Certifications (0.00),Karan Kumar,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 4.7 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and shipping production ML models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.","Bhubaneswar, Odisha",India,4.7,AI Research Engineer,TCS,10001+,IT Services,"LLMs, FAISS, Reinforcement Learning, Computer Vision, Elasticsearch, MLflow, Diffusion Models, Weaviate, Feature Engineering, Statistical Modeling, YOLO, Milvus, ASR, Semantic Search, Azure",Ph.D in Data Science from SRM University (2009-2014),"AI Research Engineer at TCS (32 mos, current=True); Computer Vision Engineer at PhonePe (24 mos, current=False)",," (professional),  (professional)",54.4,2025-10-02,2026-05-10,True,28,6,0.48,96.9,135,64,60,26.3-40.6 LPA,flexible,True,-1.0,420,16,0.95,0.48,True,True,True
31,CAND_0060257,0.565004,"Demonstrates a strong technical profile in recommendation systems using LangChain, Milvus, Weaviate over a 6-year career, aligning with the JD's need for hybrid retrieval, vector DB operations, production deployment. Track record includes live, production-facing ML work — a direct match for the JD's bias toward shipping over theorizing. Features open to work, a 60-day notice period. Note: Ranks behind the strongest candidates primarily on structured technical fit (0.51 vs. 0.97 on profile quality/trust signal).",0.5661,0.5085,0.7389,0.97,0.084915,0.25425,0.110835,0.097,0.0785,0.775,0.986,0.0,0.565,0.6392,0.825,0.0,0.0,1.0,0.0,0.95,0.8,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.0, 'production': 0.25}",0.4442,0.2721,0.5762,0.0,False,False,False,Experience Fit (1.00); Ranking/Recommendation (0.99); Profile Quality (0.97),Skill Match (0.08); Evaluation Frameworks (0.00); Certifications (0.00),Sai Chowdary,AI Specialist | Building ML-powered solutions,"Data scientist / ML engineer with 5.8 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level.","Gurgaon, Haryana",India,5.8,AI Specialist,Paytm,10001+,Fintech,"Recommendation Systems, Diffusion Models, BigQuery, Terraform, Vector Search, Milvus, Prompt Engineering, GANs, Data Science, SQL, LangChain, Next.js, OpenSearch, Weaviate, Feature Engineering, MLflow",M.Tech in Mechanical Engineering from Thapar University (2006-2010); M.E. in Statistics from Bharati Vidyapeeth (2002-2007),"AI Specialist at Paytm (39 mos, current=True); AI Research Engineer at CRED (30 mos, current=False)",," (professional),  (native)",54.5,2025-05-28,2026-04-12,True,134,7,0.57,106.7,648,119,60,30.1-34.0 LPA,onsite,False,49.7,73,31,0.83,0.62,True,True,False
32,CAND_0000031,0.564661,"A 6-year track record built around embeddings, with practical FAISS, Pinecone exposure that speaks directly to hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Has a track record of deploying robust ML systems to production, consistent with the role's emphasis on shipping over theorizing. Signals worth noting include strong recruiter engagement, open to work, a 60-day notice period. Note: Ranks behind the strongest candidates primarily on structured technical fit (0.53 vs. 1.00 on profile quality/trust signal).",0.5588,0.5282,0.8301,1.0,0.08382,0.2641,0.124515,0.1,0.1319,0.768,0.743,0.271,0.49,0.9176,0.8875,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.4,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 0.75, 'evaluation': 0.25, 'production': 0.0}",0.5874,0.4239,0.5403,0.0,False,False,False,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Evaluation Frameworks (0.27); Skill Match (0.13); Certifications (0.00),Ela Singh,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 6.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I've learned that most retrieval problems are actually evaluation problems in disguise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Hyderabad, Telangana",India,6.0,Recommendation Systems Engineer,Swiggy,5001-10000,Food Delivery,"Go, MLflow, FAISS, Pinecone, Angular, Image Classification, Machine Learning, Speech Recognition, BentoML, MLOps, Embeddings, Information Retrieval, Hugging Face Transformers, Feature Engineering, Sentence Transformers, scikit-learn, Marketing",M.Tech in Computer Engineering from SRM University (2002-2006),"Recommendation Systems Engineer at Swiggy (14 mos, current=True); Search Engineer at Mad Street Den (16 mos, current=False); NLP Engineer at Uber (27 mos, current=False); Applied ML Engineer at Zomato (13 mos, current=False)",," (native),  (native)",83.4,2026-01-28,2026-05-24,True,194,2,0.91,76.1,832,177,60,27.3-60.2 LPA,flexible,True,32.6,778,13,0.6,0.38,False,True,False
33,CAND_0016163,0.559543,"Possesses 7 YOE with hands-on LoRA, Pinecone, Weaviate experience applicable to the JD's hybrid retrieval, vector DB operations, production deployment needs. Track record includes live, production-facing ML work — a direct match for the JD's bias toward shipping over theorizing. Signals worth noting include strong recruiter engagement, active GitHub history, open to work. Note: long notice period of 120 days; Ranks behind the strongest candidates primarily on structured technical fit (0.53 vs. 1.00 on profile quality/trust signal).",0.548,0.5261,0.7962,1.0,0.0822,0.26305,0.11943,0.1,0.1751,1.0,0.362,0.0,0.846,0.6678,0.8625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,88.3,1.03,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.25, 'evaluation': 0.0, 'production': 1.0}",0.399,0.2195,0.6216,0.0,False,False,False,Retrieval/Search (1.00); Experience Fit (1.00); Profile Quality (1.00),Ranking/Recommendation (0.36); Skill Match (0.18); Evaluation Frameworks (0.00),Suresh Shah,Applied ML Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 6.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Gurgaon, Haryana",India,6.7,Applied ML Engineer,Dream11,1001-5000,Gaming,"Hugging Face Transformers, Computer Vision, gRPC, Time Series, Weaviate, CNN, Deep Learning, TensorFlow, ASR, Embeddings, Tailwind, Reinforcement Learning, LoRA, pgvector, Statistical Modeling, Pinecone, Machine Learning",M.E. in Machine Learning from Jadavpur University (2009-2013),"Applied ML Engineer at Dream11 (27 mos, current=True); Applied ML Engineer at Verloop.io (40 mos, current=False); NLP Engineer at Amazon (12 mos, current=False)",," (professional),  (native)",89.5,2024-05-02,2026-04-11,True,96,10,0.72,3.6,1110,11,120,33.0-44.8 LPA,remote,False,95.0,1020,13,0.62,0.85,True,True,True
34,CAND_0015065,0.557102,"Possesses 4 years of experience specializing in Embeddings, RAG, relevant to hybrid retrieval, vector DB operations, production deployment. Track record includes live, production-facing ML work — a direct match for the JD's bias toward shipping over theorizing. Features strong recruiter engagement, open to work.",0.5905,0.621,0.8152,0.97,0.088575,0.3105,0.12228,0.097,0.0456,0.775,1.0,0.0,1.0,0.8689,0.9,0.5,0.0,0.8925,1.1,0.95,0.8,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.0, 'production': 1.0}",0.4267,0.2436,0.5892,0.0,False,False,False,Ranking/Recommendation (1.00); Production Experience (1.00); Profile Quality (0.97),Skill Match (0.05); Evaluation Frameworks (0.00),Pooja Chowdary,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 3.9 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. Looking for a role where I can step up to more end-to-end ownership of ML systems, not just modeling.","Delhi, Delhi",India,3.9,AI Research Engineer,Flipkart,10001+,E-commerce,"Embeddings, Data Science, LlamaIndex, Qdrant, CSS, Speech Recognition, MLflow, Learning to Rank, RAG, Information Retrieval, Docker, Illustrator, GANs, Vue.js",M.Sc in Machine Learning from IIT Delhi (2006-2009); M.Tech in Data Science from Lovely Professional University (2009-2014),"AI Research Engineer at Flipkart (36 mos, current=True); AI Specialist at Nykaa (10 mos, current=False)",LangChain for LLM Application Development," (native),  (professional)",61.4,2025-11-09,2026-05-12,True,59,13,0.84,112.2,78,81,90,17.7-52.8 LPA,flexible,True,48.9,691,33,0.69,-1.0,True,True,False
35,CAND_0031593,0.554766,"Demonstrates a strong technical profile in embeddings using Elasticsearch, LangChain over a 8-year career, aligning with the JD's need for hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Has shipped ML systems under real production constraints, the kind of background the JD's fast-moving founding team is looking for. Features open to work.",0.5598,0.6223,0.6417,1.0,0.08397,0.31115,0.096255,0.1,0.1459,0.925,0.799,0.563,0.64,0.8784,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,"{'retrieval': 0.75, 'ranking': 0.75, 'evaluation': 0.5, 'production': 0.5}",0.5549,0.4137,0.5637,0.0,False,False,False,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Skill Match (0.15); Certifications (0.00),Aanya Chopra,"Search Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 7.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, my main project for the last 18 months has been the recommendation system that powers our discovery feed. I've learned that most retrieval problems are actually evaluation problems in disguise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Kolkata, West Bengal",India,7.8,Search Engineer,Genpact AI,10001+,AI Services,"Haystack, OpenCV, Hugging Face Transformers, CNN, Java, ASR, BentoML, Recommendation Systems, HTML, Statistical Modeling, GCP, Weights & Biases, BM25, LangChain, Embeddings, Elasticsearch",Ph.D in Information Technology from SRM University (2016-2019),"Search Engineer at Genpact AI (38 mos, current=True); NLP Engineer at Unacademy (21 mos, current=False); Search Engineer at Aganitha (33 mos, current=False)",," (native),  (native)",50.1,2025-01-23,2026-03-19,True,235,20,0.58,6.9,681,55,90,23.8-41.9 LPA,remote,True,23.2,900,17,0.79,0.83,True,True,True
36,CAND_0050454,0.553997,"Carries FAISS, LangChain, LoRA expertise from 7 years of hands-on work, mapping cleanly onto hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Familiar with production ML pipelines, though depth of deployment experience is moderate relative to the JD's production-first expectations. On the hiring-readiness side: strong recruiter engagement, open to work, immediate joiner status. Note: Ranks behind the strongest candidates primarily on structured technical fit (0.51 vs. 1.00 on profile quality/trust signal).",0.588,0.5118,0.7788,1.0,0.0882,0.2559,0.11682,0.1,0.2277,1.0,0.362,0.07,0.357,0.7638,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,"{'retrieval': 1.0, 'ranking': 0.25, 'evaluation': 0.0, 'production': 0.0}",0.4351,0.2794,0.6464,0.0,False,False,False,Retrieval/Search (1.00); Experience Fit (1.00); Education (1.00),Ranking/Recommendation (0.36); Production Experience (0.36); Skill Match (0.23),Saanvi Bansal,AI Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 6.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Delhi, Delhi",India,6.8,AI Engineer,Rephrase.ai,11-50,AI/ML,"PyTorch, LangChain, QLoRA, Fine-tuning LLMs, FAISS, Qdrant, Image Classification, scikit-learn, Feature Engineering, LoRA, BM25, NLP, LLMs, Weights & Biases, Kubeflow",M.S. in Machine Learning from Bharati Vidyapeeth (2003-2007); Ph.D in Data Science from IIT Kanpur (2005-2008),"AI Engineer at Rephrase.ai (30 mos, current=True); Machine Learning Engineer at Uber (20 mos, current=False); Machine Learning Engineer at Adobe (31 mos, current=False)",AWS Certified Machine Learning Specialty," (native),  (conversational)",77.7,2025-01-06,2026-04-27,True,85,17,0.77,32.2,807,16,30,44.2-50.1 LPA,onsite,True,-1.0,248,30,0.72,-1.0,False,True,True
37,CAND_0064326,0.55366,"Carries QLoRA, Milvus, Weaviate expertise from 8 years of hands-on work, mapping cleanly onto hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Proven experience deploying ML systems to production at scale, matching the JD's 'ship a working ranker in a week' culture. On the hiring-readiness side: strong recruiter engagement, active GitHub history, open to work, a 45-day notice period. Note: Ranks behind the strongest candidates primarily on structured technical fit (0.52 vs. 0.95 on profile quality/trust signal).",0.5809,0.5151,0.8509,0.95,0.087135,0.25755,0.127635,0.095,0.1757,0.925,0.556,0.507,0.224,0.8784,0.7875,0.0,0.0,1.0,0.0,1.0,1.0,0.0,75.5,1.01,1.03,1.0,"{'retrieval': 0.75, 'ranking': 0.5, 'evaluation': 0.5, 'production': 0.0}",0.5454,0.403,0.558,0.0,False,False,False,Experience Fit (1.00); Profile Consistency (1.00); Profile Quality (0.95),Production Experience (0.22); Skill Match (0.18); Certifications (0.00),Nisha Pillai,"Search Engineer | Search, Ranking & Retrieval","Machine learning engineer with 7.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I shipped our first RAG-based feature this year and now own the eval framework for it. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Gurgaon, Haryana",India,7.6,Search Engineer,Sarvam AI,51-200,AI/ML,"scikit-learn, PyTorch, Milvus, Deep Learning, Semantic Search, Weaviate, Object Detection, RAG, Weights & Biases, BM25, Webpack, Python, QLoRA, Reinforcement Learning",B.Tech in Computer Science from COEP Pune (2016-2020),"Search Engineer at Sarvam AI (31 mos, current=True); Machine Learning Engineer at Aganitha (24 mos, current=False); Machine Learning Engineer at Freshworks (24 mos, current=False); Machine Learning Engineer at Apple (12 mos, current=False)",," (native),  (conversational)",54.1,2024-05-09,2026-05-21,True,59,14,0.94,13.5,974,21,45,29.2-38.5 LPA,onsite,False,61.4,916,60,0.9,-1.0,True,True,False
38,CAND_0060315,0.552186,"Possesses 5 YOE with hands-on LangChain, QLoRA, Milvus experience applicable to the JD's hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations needs. Has shipped ML systems under real production constraints, the kind of background the JD's fast-moving founding team is looking for. Signals worth noting include open to work.",0.6046,0.592,0.6734,0.97,0.09069,0.296,0.10101,0.097,0.1131,0.642,1.0,0.0,1.0,0.6784,0.9625,0.5,0.0,1.0,0.0,0.95,0.8,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.0, 'production': 1.0}",0.3507,0.2366,0.5954,0.0,False,False,False,Ranking/Recommendation (1.00); Production Experience (1.00); Experience Fit (1.00),Skill Match (0.11); Evaluation Frameworks (0.00),Naina Sharma,Senior Software Engineer (ML) | Building ML-powered solutions,"Data scientist / ML engineer with 5.4 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and shipping production ML models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.","Bangalore, Karnataka",India,5.4,Senior Software Engineer (ML),Glance,501-1000,AI/ML,"Computer Vision, Milvus, Reinforcement Learning, Hugging Face Transformers, Fine-tuning LLMs, Weights & Biases, Kubeflow, MLflow, BM25, Image Classification, QLoRA, Haystack, Spring Boot, LangChain, ASR, Feature Engineering, Content Writing, Learning to Rank",Ph.D in Machine Learning from COEP Pune (2006-2011); M.E. in Artificial Intelligence from IIT Madras (2005-2010),"Senior Software Engineer (ML) at Glance (22 mos, current=True); AI Specialist at Unacademy (13 mos, current=False); Data Scientist at Aganitha (21 mos, current=False); AI Research Engineer at Saarthi.ai (7 mos, current=False)","Google Cloud Professional ML Engineer, LangChain for LLM Application Development"," (native),  (conversational)",76.2,2024-02-28,2026-03-05,True,147,18,0.63,99.7,595,89,90,20.8-37.5 LPA,flexible,True,-1.0,661,25,0.84,0.47,True,False,True
39,CAND_0005260,0.552039,"Strong embeddings and LoRA background over 5 years, relevant to the role's hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations scope. Comfortable owning a model end-to-end through deployment, rather than stopping at the research stage the JD explicitly wants to avoid. However, availability is a key concern: candidate is not marked open to work.",0.5766,0.6939,0.6896,1.0,0.08649,0.34695,0.10344,0.1,0.2037,1.0,0.556,1.0,1.0,0.7854,0.825,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 1.0}",0.4968,0.3668,0.4359,0.0,False,False,False,Retrieval/Search (1.00); Evaluation Frameworks (1.00); Production Experience (1.00),Skill Match (0.20); Certifications (0.00),Mira Ghosh,"Senior NLP Engineer | LLMs, RAG, Vector Search | ex-Top Tech","Senior AI engineer with 5.2 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I drove the platform's RAG strategy from prototype to production, including the eval framework, operating at single-digit-millisecond p95 retrieval latency. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I believe most ranking problems are solved by careful feature engineering and rigorous eval, not by bigger models. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Chennai, Tamil Nadu",India,5.2,Senior NLP Engineer,Netflix,10001+,Media,"Statistical Modeling, MLOps, Snowflake, Prompt Engineering, Information Retrieval, Speech Recognition, Semantic Search, Deep Learning, Python, NLP, MLflow, LoRA, RAG, Kubeflow, pgvector, Haystack, Hugging Face Transformers, Embeddings",B.Tech in Artificial Intelligence from IIIT Bangalore (2002-2006),"Senior NLP Engineer at Netflix (34 mos, current=True); Senior NLP Engineer at Yellow.ai (27 mos, current=False)",," (native),  (conversational)",94.8,2025-10-31,2026-05-10,False,331,6,0.86,46.8,869,153,60,39.6-64.9 LPA,onsite,True,-1.0,1154,11,0.73,0.93,True,True,True
40,CAND_0083879,0.549353,"A 7-year track record built around fine-tuning llms, with practical Milvus exposure that speaks directly to hybrid retrieval, evaluation frameworks (NDCG/MRR), vector DB operations. Track record includes live, production-facing ML work — a direct match for the JD's bias toward shipping over theorizing. Signals worth noting include open to work, immediate joiner status. Note: Ranks behind the strongest candidates primarily on structured technical fit (0.54 vs. 1.00 on profile quality/trust signal).",0.5539,0.5369,0.7013,1.0,0.083085,0.26845,0.105195,0.1,0.0553,0.726,0.556,0.271,0.846,0.7821,0.8,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 0.5, 'evaluation': 0.25, 'production': 1.0}",0.483,0.3047,0.6216,0.0,False,False,False,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Evaluation Frameworks (0.27); Skill Match (0.06),Mira Reddy,"Machine Learning Engineer | Search, Ranking & Retrieval","Machine learning engineer with 7.1 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I built our semantic search infrastructure from scratch — sentence-transformers, FAISS, the works. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Noida, Uttar Pradesh",India,7.1,Machine Learning Engineer,Ola,5001-10000,Transportation,"MLOps, Fine-tuning LLMs, Milvus, Image Classification, Data Science, scikit-learn, Hugging Face Transformers, Prompt Engineering, Machine Learning, Sentence Transformers",B.Sc in Information Technology from NIT Surathkal (2008-2012),"Machine Learning Engineer at Ola (19 mos, current=True); Search Engineer at PhonePe (46 mos, current=False); Senior Data Scientist at Swiggy (19 mos, current=False)",AWS Certified Machine Learning Specialty," (professional),  (native)",59.6,2025-06-08,2026-04-17,True,274,14,0.47,24.4,1486,140,30,44.7-62.0 LPA,hybrid,False,-1.0,574,64,0.83,0.85,True,True,True
