candidate_id,final_score,semantic_score,structured_score,behavioral_score,quality_score,reason_removed,issue_names,reasoning,current_title,years_of_experience,location,country,summary_full,skills,career_history,education_full
CAND_0000449,0.031168,0.4718,0.102,0.4356,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: Salesforce CRM, AWS, Snowflake, Django, Figma, PostgreSQL, dbt, Tailwind. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: Ph.D in MBA (2006-2011). Career: Civil Engineer at Acme Corp (42 mos); Civil Engineer at Wayne Enterprises (13 mos). Skills: Salesforce CRM, AWS, Snowflake, Django, Figma, PostgreSQL, dbt, Tailwind. Removed from Top 300 to prevent contamination of final Top 100 submission.",Civil Engineer,4.6,"Coimbatore, Tamil Nadu",India,"Professional with 4.6+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.","Salesforce CRM, AWS, Snowflake, Django, Figma, PostgreSQL, dbt, Tailwind",Civil Engineer at Acme Corp (42 mos); Civil Engineer at Wayne Enterprises (13 mos),Ph.D in MBA (2006-2011)
CAND_0000027,0.037785,0.5234,0.3212,0.6878,0.5,clustered,CLUSTERED_TEMPLATE,"Clustered: Profile is >90% semantically identical to 46 other templated candidates in Top 300. Summary and skills structure match synthetic generation patterns. Skills include Docker, YOLO, PEFT, Webpack, Data Science, AWS, Java, Angular—common in templated profiles—but career details lack specificity. Removed because this appears to be part of a synthetic batch generated from a single template, not a genuine candidate. Education: Ph.D in Information Technology (2006-2010); B.E. in Artificial Intelligence (2017-2020). Career: DevOps Engineer at Infosys (36 mos); DevOps Engineer at Wipro (10 mos). Removed from Top 300 to prevent contamination of final Top 100 submission.",DevOps Engineer,3.9,"Kolkata, West Bengal",India,"Software engineer with 3.9 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.","Docker, YOLO, PEFT, Webpack, Data Science, AWS, Java, Angular",DevOps Engineer at Infosys (36 mos); DevOps Engineer at Wipro (10 mos),Ph.D in Information Technology (2006-2010); B.E. in Artificial Intelligence (2017-2020)
CAND_0000777,0.030957,0.5559,0.1168,0.4734,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: Redis, Project Management, Azure, Content Writing, FastAPI, SQL. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: B.E. in Civil Engineering (2012-2017); B.Sc in Machine Learning (2005-2009). Career: Mechanical Engineer at Hooli (40 mos); Mechanical Engineer at Acme Corp (49 mos). Skills: Redis, Project Management, Azure, Content Writing, FastAPI, SQL. Removed from Top 300 to prevent contamination of final Top 100 submission.",Mechanical Engineer,7.5,"Gurgaon, Haryana",India,"Professional with 7.5+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.","Redis, Project Management, Azure, Content Writing, FastAPI, SQL",Mechanical Engineer at Hooli (40 mos); Mechanical Engineer at Acme Corp (49 mos),B.E. in Civil Engineering (2012-2017); B.Sc in Machine Learning (2005-2009)
CAND_0000851,0.03029,0.474,0.1214,0.3876,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: HTML, Data Pipelines, Airflow, Hadoop, PostgreSQL, MongoDB. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: B.Tech in Electrical Engineering (2010-2014). Career: Customer Support at Wayne Enterprises (38 mos); Marketing Manager at Initech (24 mos). Skills: HTML, Data Pipelines, Airflow, Hadoop, PostgreSQL, MongoDB. Removed from Top 300 to prevent contamination of final Top 100 submission.",Customer Support,5.2,"Gurgaon, Haryana",India,"Professional with 5.2+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.","HTML, Data Pipelines, Airflow, Hadoop, PostgreSQL, MongoDB",Customer Support at Wayne Enterprises (38 mos); Marketing Manager at Initech (24 mos),B.Tech in Electrical Engineering (2010-2014)
CAND_0000350,0.030563,0.5226,0.1047,0.4873,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: GANs, Excel, FastAPI, Hadoop, Sales, Illustrator, Kubernetes, Apache Flink. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: B.Sc in Mechanical Engineering (2011-2014); M.E. in Electronics (2014-2017). Career: Business Analyst at Globex Inc (48 mos); Business Analyst at Globex Inc (9 mos). Skills: GANs, Excel, FastAPI, Hadoop, Sales, Illustrator, Kubernetes, Apache Flink. Removed from Top 300 to prevent contamination of final Top 100 submission.",Business Analyst,4.8,"Noida, Uttar Pradesh",India,"Professional with 4.8+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.","GANs, Excel, FastAPI, Hadoop, Sales, Illustrator, Kubernetes, Apache Flink",Business Analyst at Globex Inc (48 mos); Business Analyst at Globex Inc (9 mos),B.Sc in Mechanical Engineering (2011-2014); M.E. in Electronics (2014-2017)
CAND_0000121,0.030752,0.5658,0.1578,0.3997,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: Airflow, Marketing, Excel, SEO, Sales, FAISS, Vector Search, Recommendation Systems. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: M.E. in Computer Engineering (2007-2010). Career: Customer Support at Wayne Enterprises (27 mos); Project Manager at Hooli (16 mos). Skills: Airflow, Marketing, Excel, SEO, Sales, FAISS, Vector Search, Recommendation Systems. Removed from Top 300 to prevent contamination of final Top 100 submission.",Customer Support,3.7,"Mumbai, Maharashtra",India,"Customer Support with 3.7+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.","Airflow, Marketing, Excel, SEO, Sales, FAISS, Vector Search, Recommendation Systems",Customer Support at Wayne Enterprises (27 mos); Project Manager at Hooli (16 mos),M.E. in Computer Engineering (2007-2010)
CAND_0000958,0.029828,0.4982,0.1081,0.4544,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: dbt, Databricks, Kubernetes, Data Pipelines, Go, GCP, Webpack. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: B.Tech in Information Technology (2003-2007). Career: Customer Support at Globex Inc (22 mos); Project Manager at Stark Industries (12 mos). Skills: dbt, Databricks, Kubernetes, Data Pipelines, Go, GCP, Webpack. Removed from Top 300 to prevent contamination of final Top 100 submission.",Customer Support,4.2,"Chennai, Tamil Nadu",India,"Professional with 4.2+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.","dbt, Databricks, Kubernetes, Data Pipelines, Go, GCP, Webpack",Customer Support at Globex Inc (22 mos); Project Manager at Stark Industries (12 mos),B.Tech in Information Technology (2003-2007)
CAND_0000699,0.029184,0.597,0.1014,0.4907,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: Vue.js, Docker, Node.js, Forecasting, TypeScript, Kafka, GraphQL, Spring Boot. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: B.Sc in Mechanical Engineering (2013-2016). Career: Business Analyst at Hooli (13 mos); Mechanical Engineer at Initech (43 mos). Skills: Vue.js, Docker, Node.js, Forecasting, TypeScript, Kafka, GraphQL, Spring Boot. Removed from Top 300 to prevent contamination of final Top 100 submission.",Business Analyst,4.7,"Bhubaneswar, Odisha",India,"Business Analyst with 4.7+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.","Vue.js, Docker, Node.js, Forecasting, TypeScript, Kafka, GraphQL, Spring Boot",Business Analyst at Hooli (13 mos); Mechanical Engineer at Initech (43 mos),B.Sc in Mechanical Engineering (2013-2016)
CAND_0000726,0.02907,0.5157,0.1212,0.5499,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: Webpack, Node.js, Content Writing, SEO, Tally, Apache Flink, Time Series. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: Ph.D in Artificial Intelligence (2017-2021). Career: Customer Support at Acme Corp (28 mos); HR Manager at Wayne Enterprises (27 mos). Skills: Webpack, Node.js, Content Writing, SEO, Tally, Apache Flink, Time Series. Removed from Top 300 to prevent contamination of final Top 100 submission.",Customer Support,9.3,"Kolkata, West Bengal",India,"Professional with 9.3+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.","Webpack, Node.js, Content Writing, SEO, Tally, Apache Flink, Time Series",Customer Support at Acme Corp (28 mos); HR Manager at Wayne Enterprises (27 mos),Ph.D in Artificial Intelligence (2017-2021)
CAND_0000915,0.029157,0.6269,0.1169,0.5251,0.0,quality_filtered,QUALITY_FILTERED,"Quality-filtered: Profile quality score (0.00) below threshold (0.2). Skills: Illustrator, Spark, SQL, PowerPoint, Marketing, BigQuery, Angular, Scrum. Profile lacks sufficient quality signals to remain in Top 300. Low profile completeness/consistency triggered automatic exclusion. Education: Ph.D in Computer Engineering (2014-2017). Career: Mechanical Engineer at TCS (54 mos); Customer Support at Dunder Mifflin (39 mos). Skills: Illustrator, Spark, SQL, PowerPoint, Marketing, BigQuery, Angular, Scrum. Removed from Top 300 to prevent contamination of final Top 100 submission.",Mechanical Engineer,9.3,"Jaipur, Rajasthan",India,"Mechanical Engineer with 9.3+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.","Illustrator, Spark, SQL, PowerPoint, Marketing, BigQuery, Angular, Scrum",Mechanical Engineer at TCS (54 mos); Customer Support at Dunder Mifflin (39 mos),Ph.D in Computer Engineering (2014-2017)
CAND_0000609,0.032462,0.476,0.1074,0.513,0.5,clustered,CLUSTERED_TEMPLATE,"Clustered: Profile is >90% semantically identical to 46 other templated candidates in Top 300. Summary and skills structure match synthetic generation patterns. Skills include PowerPoint, GCP, Node.js, Databricks, AWS, JavaScript, ETL—common in templated profiles—but career details lack specificity. Removed because this appears to be part of a synthetic batch generated from a single template, not a genuine candidate. Education: M.Sc in Electronics (2011-2015). Career: Customer Support at Dunder Mifflin (15 mos); Accountant at TCS (51 mos). Removed from Top 300 to prevent contamination of final Top 100 submission.",Customer Support,6.8,"Gurgaon, Haryana",India,"Professional with 6.8+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.","PowerPoint, GCP, Node.js, Databricks, AWS, JavaScript, ETL",Customer Support at Dunder Mifflin (15 mos); Accountant at TCS (51 mos),M.Sc in Electronics (2011-2015)
