rank,candidate_id,final_score,reasoning,semantic_score,structured_score,behavioral_score,quality_score,semantic_contribution,structured_contribution,behavioral_contribution,quality_contribution,skill_score,retrieval_score,ranking_score,evaluation_score,production_score,experience_score,education_score,certification_score,llm_hype_penalty,experience_fit_score,experience_distance,consistency_score,education_consistency_score,trap_probability,assessment_score,assessment_modifier,scale_boost,behavioral_boost,career_keyword_scores,ranking_concept,evaluation_concept,production_concept,consulting_ratio,top_positive_features,top_negative_features,anonymized_name,headline,summary,location,country,years_of_experience,current_title,current_company,current_company_size,current_industry,skills,education,career_history,certifications,languages,profile_completeness_score,signup_date,last_active_date,open_to_work,profile_views_received_30d,applications_submitted_30d,recruiter_response_rate,avg_response_time_hours,connection_count,endorsements_received,notice_period_days,expected_salary,preferred_work_mode,willing_to_relocate,github_activity_score,search_appearance_30d,saved_by_recruiters_30d,interview_completion_rate,offer_acceptance_rate,verified_email,verified_phone,linkedin_connected
24,CAND_0061265,0.684976,"Demonstrated expertise with LangChain, QLoRA, Milvus (7 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work. Note: long notice period (120 days).",0.5461,0.6206,0.7624,1.0,0.10922,0.34133,0.11436,0.1,0.1738,1.0,0.89,0.0,0.804,0.9176,0.8,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.9,1.0,1.03,1.03,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.0, 'production': 1.0}",0.63,0.468,0.4926,0.0,Retrieval/Search (1.00); Experience Fit (1.00); Profile Quality (1.00),Skill Match (0.17); Evaluation Frameworks (0.00); Certifications (0.00),Tanya Chopra,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 6.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I've learned that most retrieval problems are actually evaluation problems in disguise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Delhi, Delhi",India,6.6,Recommendation Systems Engineer,Zoho,10001+,SaaS,"Qdrant, SQL, Accounting, LangChain, Learning to Rank, Vector Search, Hugging Face Transformers, QLoRA, Embeddings, Time Series, Django, Object Detection, Prompt Engineering, Computer Vision, Reinforcement Learning, Milvus",B.E. in Data Science from IIT Madras (2006-2011),"Recommendation Systems Engineer at Zoho (20 mos, current=True); Senior Data Scientist at Observe.AI (36 mos, current=False); Senior Data Scientist at Paytm (22 mos, current=False)",," (professional),  (professional)",86.5,2024-08-06,2026-03-25,True,208,0,0.94,5.7,240,25,120,28.5-40.2 LPA,hybrid,False,79.8,461,24,0.57,-1.0,True,False,False
25,CAND_0010257,0.683513,"Demonstrated expertise with Milvus (6 YOE), focusing on python. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, open to work. Note: long notice period (120 days).",0.5707,0.6414,0.7673,1.0,0.11414,0.35277,0.115095,0.1,0.1092,0.775,0.986,0.626,0.916,0.6854,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,82.2,1.03,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.5, 'production': 1.0}",0.4586,0.3329,0.6163,0.0,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Skill Match (0.11); Certifications (0.00),Ira Shetty,Senior Data Scientist | Applied ML | Building intelligent products,"Machine learning engineer with 6.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Noida, Uttar Pradesh",India,6.5,Senior Data Scientist,Google,10001+,Internet,"Milvus, TensorFlow, MLflow, Python, Forecasting, OpenSearch, Qdrant, JavaScript, ASR, Machine Learning, Feature Engineering, Image Classification, Recommendation Systems, pgvector, Rust",Ph.D in Computer Science from COEP Pune (2010-2015),"Senior Data Scientist at Google (37 mos, current=True); Search Engineer at PharmEasy (14 mos, current=False); Senior Data Scientist at Google (26 mos, current=False)",Google Cloud Professional ML Engineer," (professional),  (conversational)",85.1,2026-04-21,2026-05-13,True,269,16,0.72,46.2,737,145,120,39.9-46.9 LPA,flexible,True,45.5,890,35,0.92,0.74,True,True,False
26,CAND_0088025,0.683484,"Demonstrated expertise with Elasticsearch, LoRA, Pinecone (9 YOE), focusing on llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work.",0.5924,0.6603,0.7928,1.0,0.11848,0.363165,0.11892,0.1,0.28,0.925,0.794,0.626,0.663,0.9,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,93.6,1.05,1.0,1.03,"{'retrieval': 0.75, 'ranking': 0.5, 'evaluation': 0.5, 'production': 0.25}",0.5269,0.4186,0.4213,0.0,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Skill Match (0.28); Certifications (0.00),Amit Arora,Staff Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 8.6 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I'm comfortable across the stack from infra to algorithms, but my heart is in retrieval and ranking. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Jaipur, Rajasthan",India,8.6,Staff Machine Learning Engineer,Yellow.ai,201-500,AI/ML,"Pinecone, QLoRA, LLMs, Hugging Face Transformers, RAG, SAP, TensorFlow, LoRA, Flask, Prompt Engineering, BM25, Elasticsearch, MLOps, pgvector, Learning to Rank, Deep Learning, Python, NLP, YOLO",Ph.D in Data Science from COEP Pune (2004-2009),"Staff Machine Learning Engineer at Yellow.ai (45 mos, current=True); Staff Machine Learning Engineer at Niramai (44 mos, current=False); Senior Machine Learning Engineer at Genpact AI (13 mos, current=False)",," (professional),  (native)",60.3,2025-11-25,2026-05-14,True,201,17,0.83,24.1,1606,18,90,38.5-51.3 LPA,hybrid,False,74.6,1398,19,0.95,0.82,True,True,True
27,CAND_0060054,0.677416,"Demonstrated expertise with Elasticsearch, FAISS, Weaviate (6 YOE), focusing on recommendation systems. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, immediate joiner.",0.5824,0.6851,0.6767,1.0,0.11648,0.376805,0.101505,0.1,0.1144,1.0,0.986,0.626,0.598,0.7638,0.9625,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 1.0, 'evaluation': 0.5, 'production': 0.5}",0.4896,0.319,0.5542,0.0,Retrieval/Search (1.00); Experience Fit (1.00); Profile Quality (1.00),Skill Match (0.11),Aisha Kapoor,"AI Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 6.4 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, my main project for the last 18 months has been the recommendation system that powers our discovery feed. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Jaipur, Rajasthan",India,6.4,AI Engineer,Mad Street Den,201-500,AI/ML,"Diffusion Models, TensorFlow, Weaviate, FAISS, Time Series, Feature Engineering, Prompt Engineering, Elasticsearch, Semantic Search, Recommendation Systems",Ph.D in Data Science from RV College of Engineering (2006-2009),"AI Engineer at Mad Street Den (31 mos, current=True); Recommendation Systems Engineer at Zomato (24 mos, current=False); AI Engineer at Uber (21 mos, current=False)","LangChain for LLM Application Development, AWS Certified Machine Learning Specialty"," (professional),  (professional)",67.3,2025-09-21,2026-03-17,False,17,3,0.86,66.3,453,114,15,39.0-40.3 LPA,hybrid,True,-1.0,256,39,0.78,-1.0,True,True,True
28,CAND_0030031,0.676138,"Demonstrated expertise with LoRA, Milvus, QLoRA (6 YOE), focusing on nlp. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, immediate joiner.",0.5567,0.6357,0.7614,1.0,0.11134,0.349635,0.11421,0.1,0.174,0.775,0.93,0.507,0.874,0.8462,0.8,0.0,0.0,1.0,0.0,1.0,1.0,0.0,63.5,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.5, 'production': 1.0}",0.4528,0.3456,0.6479,0.0,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Skill Match (0.17); Certifications (0.00),Anil Joshi,"AI Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 5.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I shipped our first RAG-based feature this year and now own the eval framework for it. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Trivandrum, Kerala",India,5.7,AI Engineer,Microsoft,10001+,Software,"Information Retrieval, PyTorch, Object Detection, Python, NLP, RAG, OpenCV, LoRA, QLoRA, BM25, Time Series, Sentence Transformers, YOLO, Milvus, Vector Search, scikit-learn",B.Sc in Data Science from IIT Bombay (2004-2008),"AI Engineer at Microsoft (13 mos, current=True); Senior Data Scientist at Amazon (27 mos, current=False); Search Engineer at Google (27 mos, current=False)",," (native),  (professional)",81.2,2025-07-26,2026-05-22,False,281,21,0.94,71.5,202,92,30,39.3-63.5 LPA,remote,False,32.4,784,13,0.81,-1.0,True,True,True
29,CAND_0065195,0.675377,"Demonstrated expertise with Elasticsearch, QLoRA (5 YOE), focusing on llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, actively looking and recently active, 45-day notice.",0.5549,0.6104,0.8495,1.0,0.11098,0.33572,0.127425,0.1,0.1456,0.925,0.516,0.411,0.888,0.9961,0.9,0.0,0.0,1.0,0.0,1.0,1.0,0.0,60.6,1.0,1.03,1.03,"{'retrieval': 0.75, 'ranking': 0.25, 'evaluation': 0.25, 'production': 1.0}",0.597,0.4273,0.5779,0.0,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Skill Match (0.15); Certifications (0.00),Kiara Mukherjee,"Search Engineer | Search, Ranking & Retrieval","Machine learning engineer with 5.1 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Kolkata, West Bengal",India,5.1,Search Engineer,CRED,1001-5000,Fintech,"LLMs, BentoML, QLoRA, scikit-learn, Diffusion Models, Elasticsearch, Hugging Face Transformers, Qdrant, Django, MLOps, pgvector, Learning to Rank, LlamaIndex",M.Sc in Artificial Intelligence from IIT Bombay (2013-2016),"Search Engineer at CRED (48 mos, current=True); Senior Data Scientist at Google (13 mos, current=False)",," (professional),  (conversational)",56.4,2025-07-02,2026-05-24,True,168,2,0.8,22.7,156,47,45,42.4-62.4 LPA,flexible,False,87.3,1027,13,0.91,0.43,True,True,True
30,CAND_0080766,0.675164,"Demonstrated expertise with Elasticsearch, LoRA, Milvus (9 YOE), focusing on python. Proven experience deploying ML systems to production at scale. Candidate shows immediate joiner.",0.593,0.639,0.6949,0.97,0.1186,0.35145,0.104235,0.097,0.1501,1.0,0.25,0.986,1.0,0.7784,0.9,0.0,0.0,1.0,0.0,0.95,0.8,0.0,84.5,1.03,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.25, 'evaluation': 1.0, 'production': 1.0}",0.4771,0.3596,0.4553,0.0,Retrieval/Search (1.00); Production Experience (1.00); Experience Fit (1.00),Ranking/Recommendation (0.25); Skill Match (0.15); Certifications (0.00),Kiara Mittal,Senior Engineer | Search & Discovery Infrastructure,"Senior engineer who has spent the last several years building systems that connect users with relevant information at scale. Comfortable across the full stack from infrastructure to algorithms to product experience, though most of my time has been in the middle layer — the ranking and retrieval systems that decide what to show. Strong preference for shipping real systems over research-only work; I'd rather have a working v1 in 6 weeks than a perfect v2 in 6 months. I've made the standard mistakes — over-engineering early, optimizing offline metrics that didn't move online numbers, building beautiful infrastructure for features that users didn't actually want — so I notice them faster now. Looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end at a product company.","Coimbatore, Tamil Nadu",India,8.8,Staff Machine Learning Engineer,Salesforce,10001+,Software,"Search Backend, LoRA, Vue.js, Tally, Search & Discovery, MLOps, Search Infrastructure, MLflow, Open-source ML libraries, Information Retrieval Systems, Elasticsearch, Computer Vision, Deep Learning, Natural Language Processing, QLoRA, YOLO, OpenSearch, Python, Milvus, ASR, TensorFlow",M.Sc in Computer Engineering from RV College of Engineering (2010-2015); M.E. in Computer Science from NIT Surathkal (2018-2021),"Staff Machine Learning Engineer at Salesforce (38 mos, current=True); Staff Machine Learning Engineer at Aganitha (12 mos, current=False); Lead AI Engineer at Swiggy (43 mos, current=False); Senior Machine Learning Engineer at Haptik (12 mos, current=False)",," (professional),  (native)",92.0,2024-11-01,2026-04-09,False,374,17,0.66,37.9,767,182,0,41.4-52.7 LPA,flexible,True,32.9,1105,27,0.88,0.63,True,True,True
31,CAND_0081686,0.670835,"Demonstrated expertise with FAISS, LangChain, QLoRA (6 YOE), focusing on embeddings. Familiar with production ML pipelines and deployment workflows. Candidate shows strong recruiter engagement, 60-day notice.",0.5559,0.6746,0.7112,1.0,0.11118,0.37103,0.10668,0.1,0.3022,1.0,0.93,0.271,0.598,0.8784,0.9,0.5,0.0,1.0,0.0,1.0,1.0,0.0,85.9,1.03,1.0,1.0,"{'retrieval': 1.0, 'ranking': 1.0, 'evaluation': 0.25, 'production': 0.5}",0.5094,0.3137,0.6182,0.0,Retrieval/Search (1.00); Experience Fit (1.00); Profile Quality (1.00),Skill Match (0.30); Evaluation Frameworks (0.27),Naina Tiwari,Search Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 6.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, my main project for the last 18 months has been the recommendation system that powers our discovery feed. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.",Austin,USA,6.0,Search Engineer,Netflix,10001+,Media,"Machine Learning, Kubeflow, Embeddings, FAISS, Feature Engineering, OpenCV, Milvus, BigQuery, CNN, Python, LangChain, Semantic Search, QLoRA, Java, LLMs, Hugging Face Transformers, Forecasting, Weights & Biases",M.S. in Data Science from IIT Kanpur (2017-2020),"Search Engineer at Netflix (28 mos, current=True); Recommendation Systems Engineer at Niramai (30 mos, current=False); AI Engineer at Zoho (13 mos, current=False)",Deep Learning Specialization," (native),  (professional)",57.2,2024-11-10,2026-04-25,False,218,10,0.91,68.9,1106,66,60,30.3-45.9 LPA,hybrid,False,46.4,399,47,0.86,-1.0,True,True,True
32,CAND_0052328,0.669275,"Demonstrated expertise with LoRA, QLoRA (6 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work, immediate joiner.",0.4975,0.6224,0.8468,1.0,0.0995,0.34232,0.12702,0.1,0.1417,0.808,0.759,0.271,0.804,0.9961,0.925,0.5,0.0,1.0,0.0,1.0,1.0,0.0,85.4,1.03,1.03,1.0,"{'retrieval': 0.5, 'ranking': 0.5, 'evaluation': 0.25, 'production': 1.0}",0.5787,0.4537,0.5973,0.0,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Evaluation Frameworks (0.27); Skill Match (0.14),Vikram Banerjee,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 6.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, my main project for the last 18 months has been the recommendation system that powers our discovery feed. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Pune, Maharashtra",India,6.5,Recommendation Systems Engineer,Amazon,10001+,Internet,"Object Detection, LoRA, OpenSearch, Reinforcement Learning, QLoRA, Image Classification, Recommendation Systems, ASR, Computer Vision, Learning to Rank, Fine-tuning LLMs, scikit-learn, Vector Search, YOLO, Sentence Transformers, Python",B.Sc in Computer Science from VIT Vellore (2013-2016); M.Tech in Computer Science from Stanford University (2017-2020),"Recommendation Systems Engineer at Amazon (52 mos, current=True); Senior Data Scientist at Observe.AI (25 mos, current=False)","NLP Specialization, Google Cloud Professional ML Engineer"," (professional),  (native)",76.7,2025-04-26,2026-03-31,True,107,4,0.79,31.9,344,85,30,23.6-53.9 LPA,hybrid,False,77.6,627,31,0.95,0.54,False,False,True
33,CAND_0098846,0.666143,"Demonstrated expertise with QLoRA, PEFT (8 YOE), focusing on recommendation systems. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, open to work, 45-day notice.",0.6412,0.5982,0.8454,1.0,0.12824,0.32901,0.12681,0.1,0.116,0.848,0.612,0.411,1.0,0.7246,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.75, 'ranking': 0.5, 'evaluation': 0.25, 'production': 1.0}",0.4369,0.2834,0.6227,0.0,Production Experience (1.00); Experience Fit (1.00); Education (1.00),Skill Match (0.12); Certifications (0.00),Shreya Saxena,"AI Engineer | Search, Ranking & Retrieval","Machine learning engineer with 7.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I've been the de-facto ML lead on a small team, shipping models across NLP and recsys. Along the way I've gotten comfortable with the operational side — A/B testing, drift monitoring, retraining schedules. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Indore, Madhya Pradesh",India,7.6,AI Engineer,upGrad,1001-5000,EdTech,"YOLO, Kubeflow, Hugging Face Transformers, Hadoop, PEFT, QLoRA, Machine Learning, MLOps, Qdrant, Haystack, LlamaIndex, TensorFlow, Recommendation Systems, Speech Recognition, Photoshop, Azure, BentoML, TTS",Ph.D in Machine Learning from IIT Kanpur (2009-2013),"AI Engineer at upGrad (25 mos, current=True); Machine Learning Engineer at Meesho (20 mos, current=False); Search Engineer at Swiggy (19 mos, current=False); Search Engineer at Google (26 mos, current=False)",," (native),  (native)",90.0,2025-09-15,2026-04-23,True,102,13,0.62,12.0,1378,99,45,44.0-54.7 LPA,flexible,True,86.2,747,13,0.8,-1.0,True,True,True
34,CAND_0024466,0.664745,"Demonstrated expertise with LoRA, PEFT, Pinecone (5 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows actively looking and recently active. Note: long notice period (120 days).",0.5694,0.6769,0.6461,1.0,0.11388,0.372295,0.096915,0.1,0.2508,0.768,0.986,0.411,0.738,0.8784,0.9625,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.25, 'production': 0.5}",0.5127,0.3506,0.613,0.0,Experience Fit (1.00); Profile Quality (1.00); Profile Consistency (1.00),Skill Match (0.25),Om Mukherjee,Search Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 5.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.",Toronto,Canada,5.2,Search Engineer,PharmEasy,5001-10000,HealthTech,"Recommendation Systems, pgvector, Image Classification, Reinforcement Learning, BM25, MLOps, Computer Vision, Forecasting, Fine-tuning LLMs, LLMs, LoRA, NLP, Weights & Biases, CI/CD, Sentence Transformers, Pinecone, PEFT, PyTorch",M.Sc in Computer Engineering from IISc Bangalore (2012-2016); Ph.D in Information Technology from Anna University (2016-2020),"Search Engineer at PharmEasy (43 mos, current=True); Recommendation Systems Engineer at Mad Street Den (19 mos, current=False)","LangChain for LLM Application Development, NLP Specialization"," (native),  (native)",72.8,2025-08-05,2026-05-22,True,29,18,0.47,13.4,121,31,120,27.1-38.8 LPA,hybrid,True,-1.0,78,5,0.56,0.61,True,True,False
35,CAND_0032515,0.664609,"Demonstrated expertise with Elasticsearch, QLoRA, Milvus (5 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, 45-day notice.",0.5385,0.6438,0.6849,1.0,0.1077,0.35409,0.102735,0.1,0.1673,0.775,0.743,0.411,0.888,0.8213,1.0,0.75,0.0,1.0,0.0,1.0,1.0,0.0,74.3,1.01,1.03,1.0,"{'retrieval': 0.25, 'ranking': 0.75, 'evaluation': 0.25, 'production': 1.0}",0.398,0.2623,0.6593,0.0,Experience Fit (1.00); Education (1.00); Profile Quality (1.00),Skill Match (0.17),Anjali Sen,Machine Learning Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 5.1 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I shipped our first RAG-based feature this year and now own the eval framework for it. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.",Seattle,USA,5.1,Machine Learning Engineer,PharmEasy,5001-10000,HealthTech,"MLflow, Milvus, Vector Search, QLoRA, Fine-tuning LLMs, BentoML, NLP, Deep Learning, OpenCV, Salesforce CRM, Elasticsearch, ETL, Machine Learning, PyTorch, Semantic Search",Ph.D in Machine Learning from Carnegie Mellon University (2005-2009),"Machine Learning Engineer at PharmEasy (12 mos, current=True); AI Engineer at Razorpay (22 mos, current=False); Search Engineer at Zoho (26 mos, current=False)","NLP Specialization, Deep Learning Specialization"," (native),  (native)",69.0,2024-04-20,2026-05-14,False,184,8,0.54,17.4,421,79,45,27.3-42.0 LPA,hybrid,False,67.4,303,40,0.8,0.58,True,True,False
36,CAND_0041669,0.66317,"Demonstrated expertise with FAISS, QLoRA, Milvus (8 YOE). Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work, 60-day notice.",0.5235,0.6478,0.804,0.955,0.1047,0.35629,0.1206,0.0955,0.1639,0.925,0.93,0.507,0.738,0.8784,0.825,0.0,0.0,1.0,0.0,0.925,0.7,0.0,83.7,1.03,1.0,1.0,"{'retrieval': 0.75, 'ranking': 1.0, 'evaluation': 0.5, 'production': 0.5}",0.5699,0.427,0.5789,0.0,Experience Fit (1.00); Profile Quality (0.95); Ranking/Recommendation (0.93),Skill Match (0.16); Certifications (0.00),Aisha Banerjee,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 8.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I shipped our first RAG-based feature this year and now own the eval framework for it. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Noida, Uttar Pradesh",India,8.0,Recommendation Systems Engineer,CRED,1001-5000,Fintech,"FAISS, Milvus, PEFT, Diffusion Models, MLflow, QLoRA, Haystack, Semantic Search, Weaviate, Prompt Engineering, Flask, Weights & Biases, ASR, MLOps, Vue.js, Time Series, Information Retrieval, TypeScript, Machine Learning, Qdrant",B.Tech in Information Technology from IIT Guwahati (2006-2010); B.E. in Computer Engineering from IIT Guwahati (2007-2012),"Recommendation Systems Engineer at CRED (37 mos, current=True); Search Engineer at Mad Street Den (52 mos, current=False); NLP Engineer at Yellow.ai (6 mos, current=False)",," (professional),  (conversational)",62.5,2024-12-20,2026-04-06,True,143,9,0.77,3.7,717,52,60,30.2-52.8 LPA,onsite,False,70.9,326,37,0.93,0.82,True,True,False
37,CAND_0027691,0.659964,"Demonstrated expertise with LoRA, PEFT, QLoRA (6 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows open to work, immediate joiner.",0.5478,0.6052,0.7854,1.0,0.10956,0.33286,0.11781,0.1,0.2263,1.0,0.759,0.0924,0.846,0.6678,0.8625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,86.9,1.03,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 0.0, 'production': 1.0}",0.4944,0.3408,0.5796,0.0,Retrieval/Search (1.00); Experience Fit (1.00); Profile Quality (1.00),Skill Match (0.23); Evaluation Frameworks (0.09); Certifications (0.00),Ayaan Goyal,"NLP Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 6.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, my main project for the last 18 months has been the recommendation system that powers our discovery feed. Along the way I've gotten comfortable with the operational side — A/B testing, drift monitoring, retraining schedules. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Pune, Maharashtra",India,6.5,NLP Engineer,Haptik,201-500,Conversational AI,"SAP, LoRA, PEFT, Recommendation Systems, Statistical Modeling, Weaviate, scikit-learn, Marketing, Embeddings, Learning to Rank, TTS, QLoRA, TensorFlow, Semantic Search, Python, MLflow, Computer Vision",M.Sc in Machine Learning from Thapar University (2007-2010); M.E. in Data Science from KIIT University (2008-2012),"NLP Engineer at Haptik (27 mos, current=True); Applied ML Engineer at Vedantu (33 mos, current=False); AI Engineer at Meta (16 mos, current=False)",," (native),  (native)",96.3,2024-09-14,2026-03-31,True,14,1,0.68,14.7,447,154,15,26.1-65.0 LPA,hybrid,False,58.5,100,25,0.63,0.62,True,True,True
