candidate_id,final_score,semantic_score,structured_score,behavioral_score,quality_score,skill_score,retrieval_score,ranking_score,evaluation_score,production_score,experience_score,career_score,consulting_ratio,education_score,certification_score,llm_hype_penalty,experience_fit_score,experience_distance,consistency_score,education_consistency_score,trap_probability,assessment_score,assessment_modifier,scale_boost,behavioral_boost,career_keyword_scores,ranking_concept,evaluation_concept,production_concept,rank,reasoning
CAND_0092278,0.715574,0.5962,0.7853,0.4033,1.0,0.2332,1.0,1.0,1.0,0.855,0.8286,1.0,0.0,0.8,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 1.0, 'evaluation': 1.0, 'production': 0.75}",0.4941,0.3694,0.4384,12.0,"Demonstrated expertise with Elasticsearch, QLoRA, Milvus (7 YOE), focusing on llms. Proven experience deploying ML systems to production at scale. Hiring readiness within standard parameters."
CAND_0041610,0.714666,0.5456,0.7026,0.7684,1.0,0.1872,0.925,0.925,0.467,0.846,0.8784,0.8333,0.0,0.85,0.75,0.0,1.0,0.0,1.0,1.0,0.0,55.6,0.99,1.03,1.0,"{'retrieval': 0.75, 'ranking': 0.75, 'evaluation': 0.25, 'production': 1.0}",0.6108,0.4771,0.5708,13.0,"Demonstrated expertise with Elasticsearch, LangChain, LoRA (7 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows open to work, immediate joiner."
CAND_0046064,0.714223,0.571,0.6807,0.8121,0.94,0.1755,1.0,0.556,1.0,0.916,0.7854,1.0,0.0,0.925,0.0,0.0,1.0,0.0,0.9,0.6,0.0,64.1,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 1.0}",0.5083,0.4166,0.4348,14.0,"Demonstrated expertise with Elasticsearch, QLoRA, PEFT (9 YOE), focusing on python. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work, immediate joiner."
CAND_0002025,0.713987,0.6059,0.6604,0.8884,0.85,0.2866,0.775,0.89,0.411,0.804,0.8286,0.8333,0.0,0.9,0.5,0.0,1.0,0.0,0.75,1.0,0.2,0.0,1.0,1.03,1.03,"{'retrieval': 0.25, 'ranking': 0.75, 'evaluation': 0.25, 'production': 1.0}",0.4832,0.3756,0.428,15.0,"Demonstrated expertise with FAISS, LangChain, QLoRA (6 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, actively looking and recently active, immediate joiner."
CAND_0005260,0.709594,0.5766,0.6939,0.7277,1.0,0.2037,1.0,0.556,1.0,1.0,0.7854,1.0,0.0,0.825,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 1.0}",0.4968,0.3668,0.4359,16.0,"Demonstrated expertise with LoRA (5 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, 60-day notice."
CAND_0068811,0.707085,0.5776,0.693,0.7142,0.94,0.1405,0.925,0.951,0.626,0.958,0.8286,0.9444,0.0,0.9625,0.0,0.0,1.0,0.0,0.9,0.6,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.75, 'ranking': 1.0, 'evaluation': 0.5, 'production': 1.0}",0.4302,0.2659,0.6393,17.0,"Demonstrated expertise with PEFT, Pinecone, Weaviate (8 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows actively looking and recently active, immediate joiner."
CAND_0011687,0.70589,0.5891,0.622,0.8251,1.0,0.179,0.85,0.556,0.738,0.841,0.8286,0.8333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.03,"{'retrieval': 0.5, 'ranking': 0.5, 'evaluation': 0.5, 'production': 0.75}",0.4901,0.4556,0.4817,18.0,"Demonstrated expertise with FAISS, LangChain, PEFT (8 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work, immediate joiner."
CAND_0077285,0.700017,0.5183,0.6921,0.753,1.0,0.2501,0.85,0.743,0.626,0.804,0.9176,0.8333,0.0,0.9625,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.5, 'ranking': 0.75, 'evaluation': 0.5, 'production': 1.0}",0.4881,0.3703,0.606,19.0,"Demonstrated expertise with FAISS, LoRA, Milvus (6 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, open to work, 60-day notice."
CAND_0030953,0.693506,0.6074,0.6808,0.6355,1.0,0.1139,1.0,0.89,0.834,0.696,0.9176,1.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.75, 'production': 0.5}",0.5446,0.3742,0.5682,20.0,"Demonstrated expertise with LangChain, Weaviate (8 YOE), focusing on python. Proven experience deploying ML systems to production at scale. Candidate shows 45-day notice."
CAND_0041611,0.692587,0.5968,0.7361,0.4412,1.0,0.1681,1.0,0.647,1.0,0.986,0.9,1.0,0.0,0.85,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 1.0}",0.4904,0.4624,0.4584,21.0,"Demonstrated expertise with LangChain, QLoRA, Weaviate (6 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows immediate joiner."
CAND_0033861,0.691641,0.5837,0.7198,0.5126,0.91,0.251,1.0,0.89,0.626,1.0,0.7854,1.0,0.0,0.9,0.0,0.0,1.0,0.0,0.85,0.4,0.0,79.5,1.01,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.5, 'production': 1.0}",0.4785,0.3621,0.4514,22.0,"Demonstrated expertise with Elasticsearch, LoRA, Milvus (8 YOE), focusing on llms. Proven experience deploying ML systems to production at scale. Candidate shows immediate joiner."
CAND_0094759,0.690646,0.6055,0.6808,0.6204,0.97,0.1099,1.0,0.703,1.0,0.841,0.8286,0.9444,0.0,0.8875,0.0,0.0,1.0,0.0,0.95,0.8,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 1.0, 'production': 0.75}",0.408,0.317,0.4625,23.0,"Demonstrated expertise with FAISS, Weaviate (9 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, immediate joiner."
CAND_0061265,0.684976,0.5461,0.6206,0.7624,1.0,0.1738,1.0,0.89,0.0,0.804,0.9176,0.5,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.9,1.0,1.03,1.03,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.0, 'production': 1.0}",0.63,0.468,0.4926,24.0,"Demonstrated expertise with LangChain, QLoRA, Milvus (7 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work. Note: long notice period (120 days)."
CAND_0010257,0.683513,0.5707,0.6414,0.7673,1.0,0.1092,0.775,0.986,0.626,0.916,0.6854,0.6111,0.0,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,82.2,1.03,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.5, 'production': 1.0}",0.4586,0.3329,0.6163,25.0,"Demonstrated expertise with Milvus (6 YOE), focusing on python. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, open to work. Note: long notice period (120 days)."
CAND_0088025,0.683484,0.5924,0.6603,0.7928,1.0,0.28,0.925,0.794,0.626,0.663,0.9,0.7778,0.0,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,93.6,1.05,1.0,1.03,"{'retrieval': 0.75, 'ranking': 0.5, 'evaluation': 0.5, 'production': 0.25}",0.5269,0.4186,0.4213,26.0,"Demonstrated expertise with Elasticsearch, LoRA, Pinecone (9 YOE), focusing on llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work."
CAND_0060054,0.677416,0.5824,0.6851,0.6767,1.0,0.1144,1.0,0.986,0.626,0.598,0.7638,0.7778,0.0,0.9625,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 1.0, 'evaluation': 0.5, 'production': 0.5}",0.4896,0.319,0.5542,27.0,"Demonstrated expertise with Elasticsearch, FAISS, Weaviate (6 YOE), focusing on recommendation systems. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, immediate joiner."
CAND_0030031,0.676138,0.5567,0.6357,0.7614,1.0,0.174,0.775,0.93,0.507,0.874,0.8462,0.6111,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,0.0,63.5,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.5, 'production': 1.0}",0.4528,0.3456,0.6479,28.0,"Demonstrated expertise with LoRA, Milvus, QLoRA (6 YOE), focusing on nlp. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, immediate joiner."
CAND_0065195,0.675377,0.5549,0.6104,0.8495,1.0,0.1456,0.925,0.516,0.411,0.888,0.9961,0.6667,0.0,0.9,0.0,0.0,1.0,0.0,1.0,1.0,0.0,60.6,1.0,1.03,1.03,"{'retrieval': 0.75, 'ranking': 0.25, 'evaluation': 0.25, 'production': 1.0}",0.597,0.4273,0.5779,29.0,"Demonstrated expertise with Elasticsearch, QLoRA (5 YOE), focusing on llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, actively looking and recently active, 45-day notice."
CAND_0080766,0.675164,0.593,0.639,0.6949,0.97,0.1501,1.0,0.25,0.986,1.0,0.7784,0.7778,0.0,0.9,0.0,0.0,1.0,0.0,0.95,0.8,0.0,84.5,1.03,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.25, 'evaluation': 1.0, 'production': 1.0}",0.4771,0.3596,0.4553,30.0,"Demonstrated expertise with Elasticsearch, LoRA, Milvus (9 YOE), focusing on python. Proven experience deploying ML systems to production at scale. Candidate shows immediate joiner."
CAND_0081686,0.670835,0.5559,0.6746,0.7112,1.0,0.3022,1.0,0.93,0.271,0.598,0.8784,0.7222,0.0,0.9,0.5,0.0,1.0,0.0,1.0,1.0,0.0,85.9,1.03,1.0,1.0,"{'retrieval': 1.0, 'ranking': 1.0, 'evaluation': 0.25, 'production': 0.5}",0.5094,0.3137,0.6182,31.0,"Demonstrated expertise with FAISS, LangChain, QLoRA (6 YOE), focusing on embeddings. Familiar with production ML pipelines and deployment workflows. Candidate shows strong recruiter engagement, 60-day notice."
CAND_0052328,0.669275,0.4975,0.6224,0.8468,1.0,0.1417,0.808,0.759,0.271,0.804,0.9961,0.7222,0.0,0.925,0.5,0.0,1.0,0.0,1.0,1.0,0.0,85.4,1.03,1.03,1.0,"{'retrieval': 0.5, 'ranking': 0.5, 'evaluation': 0.25, 'production': 1.0}",0.5787,0.4537,0.5973,32.0,"Demonstrated expertise with LoRA, QLoRA (6 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work, immediate joiner."
CAND_0098846,0.666143,0.6412,0.5982,0.8454,1.0,0.116,0.848,0.612,0.411,1.0,0.7246,0.7222,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.75, 'ranking': 0.5, 'evaluation': 0.25, 'production': 1.0}",0.4369,0.2834,0.6227,33.0,"Demonstrated expertise with QLoRA, PEFT (8 YOE), focusing on recommendation systems. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, open to work, 45-day notice."
CAND_0024466,0.664745,0.5694,0.6769,0.6461,1.0,0.2508,0.768,0.986,0.411,0.738,0.8784,0.5,0.0,0.9625,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.25, 'production': 0.5}",0.5127,0.3506,0.613,34.0,"Demonstrated expertise with LoRA, PEFT, Pinecone (5 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows actively looking and recently active. Note: long notice period (120 days)."
CAND_0032515,0.664609,0.5385,0.6438,0.6849,1.0,0.1673,0.775,0.743,0.411,0.888,0.8213,0.2778,0.0,1.0,0.75,0.0,1.0,0.0,1.0,1.0,0.0,74.3,1.01,1.03,1.0,"{'retrieval': 0.25, 'ranking': 0.75, 'evaluation': 0.25, 'production': 1.0}",0.398,0.2623,0.6593,35.0,"Demonstrated expertise with Elasticsearch, QLoRA, Milvus (5 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, 45-day notice."
CAND_0041669,0.66317,0.5235,0.6478,0.804,0.955,0.1639,0.925,0.93,0.507,0.738,0.8784,0.9444,0.0,0.825,0.0,0.0,1.0,0.0,0.925,0.7,0.0,83.7,1.03,1.0,1.0,"{'retrieval': 0.75, 'ranking': 1.0, 'evaluation': 0.5, 'production': 0.5}",0.5699,0.427,0.5789,36.0,"Demonstrated expertise with FAISS, QLoRA, Milvus (8 YOE). Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work, 60-day notice."
CAND_0027691,0.659964,0.5478,0.6052,0.7854,1.0,0.2263,1.0,0.759,0.0924,0.846,0.6678,0.4444,0.0,0.8625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,86.9,1.03,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 0.0, 'production': 1.0}",0.4944,0.3408,0.5796,37.0,"Demonstrated expertise with LoRA, PEFT, QLoRA (6 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows open to work, immediate joiner."
CAND_0027801,0.658574,0.574,0.6157,0.7034,1.0,0.1168,1.0,0.703,0.07,0.958,0.6678,0.5,0.0,0.8875,0.5,0.0,1.0,0.0,1.0,1.0,0.0,81.5,1.03,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 0.0, 'production': 1.0}",0.4461,0.2849,0.607,38.0,"Demonstrated expertise with FAISS, QLoRA, Milvus (7 YOE). Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, open to work. Note: long notice period (120 days)."
CAND_0099401,0.655713,0.5733,0.6334,0.6218,1.0,0.088,0.775,0.93,0.411,0.874,0.8286,0.6111,0.0,0.825,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.25, 'production': 1.0}",0.5204,0.3669,0.5654,39.0,"Technical background in Embeddings, Python (8 YOE). Proven experience deploying ML systems to production at scale. Hiring readiness within standard parameters."
CAND_0010685,0.651615,0.5609,0.6029,0.7249,1.0,0.0868,1.0,0.743,0.327,0.888,0.707,0.5556,0.0,0.75,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.25, 'production': 1.0}",0.4594,0.2734,0.6049,40.0,"Demonstrated expertise with Elasticsearch, LangChain (7 YOE), focusing on rag. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, open to work, immediate joiner."
CAND_0082489,0.647759,0.5798,0.5965,0.6994,0.94,0.0905,0.768,1.0,0.0,1.0,0.7854,0.3889,0.0,0.925,0.0,0.0,1.0,0.0,0.9,0.6,0.0,41.7,0.97,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.0, 'production': 1.0}",0.449,0.291,0.6221,41.0,"Demonstrated expertise with LangChain, PEFT, Weaviate (5 YOE), focusing on rag. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history."
CAND_0013613,0.64538,0.5425,0.6543,0.7662,1.0,0.1063,1.0,0.743,0.682,0.64,0.8365,0.7778,0.0,0.725,0.75,0.0,0.97,0.3,1.0,1.0,0.0,66.8,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.5, 'production': 0.5}",0.3737,0.2458,0.6578,42.0,"Demonstrated expertise with LoRA, Weaviate (5 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work, 60-day notice."
CAND_0081852,0.642867,0.573,0.5807,0.8528,0.97,0.1178,0.85,0.362,0.411,0.846,0.8422,0.6111,0.0,0.8625,0.75,0.0,1.0,0.0,0.95,0.8,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.5, 'ranking': 0.25, 'evaluation': 0.25, 'production': 1.0}",0.518,0.3899,0.5234,43.0,"Demonstrated expertise with LoRA, Milvus, Weaviate (6 YOE). Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, actively looking and recently active, 45-day notice."
CAND_0007411,0.642292,0.5759,0.6253,0.5653,1.0,0.052,0.85,0.703,0.738,0.729,0.9,0.7778,0.0,0.825,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 0.5, 'ranking': 0.5, 'evaluation': 0.5, 'production': 0.75}",0.4132,0.4079,0.4954,44.0,"Demonstrated expertise with Pinecone (8 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, immediate joiner."
CAND_0075249,0.641408,0.5797,0.6139,0.7152,0.97,0.0826,1.0,0.703,0.271,0.738,0.8286,0.7222,0.0,0.925,0.5,0.0,1.0,0.0,0.95,0.8,0.0,77.9,1.01,1.0,1.0,"{'retrieval': 1.0, 'ranking': 0.5, 'evaluation': 0.25, 'production': 0.5}",0.5377,0.3733,0.6202,45.0,"Demonstrated expertise with Milvus, Pinecone (6 YOE), focusing on fine-tuning llms. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, open to work, 45-day notice."
CAND_0041402,0.64107,0.5481,0.5742,0.7822,1.0,0.1175,0.768,1.0,0.0,0.874,0.6784,0.3889,0.0,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,57.0,0.99,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.0, 'production': 1.0}",0.3789,0.2301,0.5908,46.0,"Demonstrated expertise with LoRA (6 YOE), focusing on llms. Proven experience deploying ML systems to production at scale. Candidate shows active GitHub history, open to work, 60-day notice."
CAND_0058575,0.640724,0.5922,0.6047,0.7256,1.0,0.0606,1.0,0.418,0.467,0.916,0.7638,0.8889,0.0,0.8875,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0,"{'retrieval': 1.0, 'ranking': 0.25, 'evaluation': 0.25, 'production': 1.0}",0.3557,0.202,0.6392,47.0,"Demonstrated expertise with Pinecone (6 YOE), focusing on recommendation systems. Proven experience deploying ML systems to production at scale. Candidate shows open to work."
CAND_0074735,0.640488,0.5616,0.5924,0.81,1.0,0.0861,0.925,0.516,0.271,0.888,0.8246,0.7222,0.0,0.9,0.5,0.0,1.0,0.0,1.0,1.0,0.0,67.8,1.0,1.03,1.0,"{'retrieval': 0.75, 'ranking': 0.25, 'evaluation': 0.25, 'production': 1.0}",0.4441,0.3097,0.622,48.0,"Demonstrated expertise with Elasticsearch, Weaviate (6 YOE), focusing on rag. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, open to work."
CAND_0031593,0.639308,0.5598,0.6223,0.6976,1.0,0.1459,0.925,0.799,0.563,0.64,0.8784,0.9444,0.0,0.9625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,"{'retrieval': 0.75, 'ranking': 0.75, 'evaluation': 0.5, 'production': 0.5}",0.5549,0.4137,0.5637,49.0,"Demonstrated expertise with Elasticsearch, LangChain (8 YOE), focusing on embeddings. Proven experience deploying ML systems to production at scale. Candidate shows open to work."
CAND_0020991,0.63823,0.5724,0.5648,0.8065,0.97,0.1127,0.768,0.951,0.0,0.874,0.699,0.3889,0.0,0.9,0.0,0.0,0.99,0.1,0.95,0.8,0.0,67.4,1.0,1.03,1.0,"{'retrieval': 0.25, 'ranking': 1.0, 'evaluation': 0.0, 'production': 1.0}",0.4022,0.2755,0.6282,50.0,"Demonstrated expertise with LoRA, QLoRA, Weaviate (5 YOE), focusing on python. Proven experience deploying ML systems to production at scale. Candidate shows strong recruiter engagement, active GitHub history, actively looking and recently active. Note: long notice period (120 days)."
CAND_0044855,0.637061,0.5524,0.6428,0.737,1.0,0.1769,1.0,0.89,0.682,0.556,0.8422,1.0,0.0,0.7625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,"{'retrieval': 1.0, 'ranking': 0.75, 'evaluation': 0.5, 'production': 0.5}",0.4791,0.3772,0.5239,51.0,"Demonstrated expertise with QLoRA, Pinecone (7 YOE), focusing on embeddings. Familiar with production ML pipelines and deployment workflows. Candidate shows 60-day notice."
